Unnamed: 0,Animal Name,Description,Classification
97,Cheetah,thecheethcat jpg regnum animalia phylum chordate chordata classis mammalia ordo carnivora familia felidae genus acinonyx species a jubatus binomial acinonyx jubatus johann christian daniel von schreber schreber subspecies subdivision see text gif the range of the cheetah acinonyx venator joshua brookes brookes felis jubata johann christian daniel von schreber schreber by monotypy the cheetah acinonyx jubatus is an atypical member of the cat family felidae that is unique in its speed while lacking strong climbing abilities the species is the only living member of the genus acinonyx it is the fastest land animal reaching speeds between convert and km h mph abbr on,Land Mammal
98,Rainbow trout ,the rainbow trout oncorhynchus mykiss is a species of salmonid native to tributaries of the pacific ocean in asia and north america the steelhead is a sea run rainbow trout anadromous usually returning to freshwater to spawn after to years at sea the fish is sometimes called a salmon trout,Fish
99,Marine Iguana ,the marine iguana amblyrhynchus cristatus is an iguana found only on the galápagos islands that has the ability unique among modern lizards to live and forage in the sea making it a marine reptile the iguana can dive over ft m into the water it has spread to all the islands in the archipelago and is sometimes called the galapagos marine iguana it mainly lives on the rocky galapagos shore but can also be spotted in marshes and mangrove beaches,Reptile
100,Atlantic cod ,the atlantic cod gadus morhua is a well known demersal seafood food fish belonging to the family gadidae it is also commercial fishing commercially known as cod codling or haberdine,Fish
101,Tufted Capuchin ,the tufted capuchin cebus apella also known as brown capuchin or black capped capuchin is a new world monkey new world primate from south america as traditionally defined it is one of the most widespread primates in the neotropics but it has recently been recommended considering the black striped capuchin black striped black capuchin black and golden bellied capuchins as separate species thereby effectively limiting the tufted capuchin to the amazon basin and nearby regions,Land Mammal
102,Cape Grysbok ,the head neck and legs are less flecked and somewhat yellowish while the inside of the ears eye rings mouth area throat and underside are white there is a black bridge to the nose and a dark scent gland in front of the eye it stands only cm at the shoulder and weighs slightly more than pounds kg the tail of the cape grysbok is almost invisible cm males have short sharp straight horn anatomy horns about cm long which are smooth the cape grysbok can fluff out the fur at its rear end to make itself look bigger it has a short and almost invisible tail the cape grysbok s native habitat is the fynbos biome cape floristic region and it inhabits thick shrubland it can sometimes be found browsing orchards and vineyards in the cape peninsula the grysbok can be found in urban edges close to human activity it may also be found in reed beds and along the riverbed of the southern karoo the species is probably territorial sightings are mostly of individual animals lambs are born in the southern summer after a gestation period of about months they stay hidden and grow fast cape grysbok is a browser it can apparently go without drinking water for long periods gaining most of its requirements from its food it is primarily nocturnal though it may be seen during early morning and late evening during the southern winter the similar sharpe s grysbok raphicerus sharpei can be found in south eastern africa the primary physical difference between the two grysboks is that sharpe s has a pair of false hooves above the fetlocks,Land Mammal
103,Wood mouse ,the wood mouse apodemus sylvaticus is a common murid rodent from europe and northwestern africa it is closely related to the yellow necked mouse apodemus flavicollis but differs in that it has no band of yellow fur around the neck has slightly smaller ears and is usually slightly smaller overall around amp nbsp mm in length it is found across most of europe and is a very common and widespread species is commensal with people and is sometimes considered a pest,Land Mammal
104,Asian Golden Cat ,the asian golden cat pardofelis temminckii syn catopuma temminckii also called the asiatic golden cat and temminck s golden cat is a medium sized wild felidae cat of southeastern asia in the international union for conservation of nature iucn classified asian golden cats as near threatened stating that the species comes close to qualifying as vulnerable species vulnerable due to poaching hunting pressure and habitat destruction habitat loss since southeast asian forests are undergoing the world s fastest regional deforestation rates,Land Mammal
105,Grass Snake ,the grass snake natrix natrix sometimes called the ringed snake or water snake is a european non venom poison venomous snake it is often found near water and feeds almost exclusively on amphibians,Reptile
106,Tawny Owl ,the tawny owl or brown owl strix aluco is a stocky medium sized owl commonly found in woodlands across much of eurasia its underparts are pale with dark streaks and the upperparts are either brown or grey several of the eleven recognised subspecies have both variants the bird nest nest is typically in a tree hole where it can protect its eggs and young against potential predators this owl is bird migration non migratory and highly territorial many young birds starve if they cannot find a vacant territory once parental care ceases this nocturnal bird of prey hunts mainly rodents usually by dropping from a perch to seize its prey which it swallows whole in more urban areas its diet includes a higher proportion of birds vision and hearing adaptations and silent flight aid its night hunting the tawny is capable of catching smaller owls but is itself vulnerable to the eagle owl or northern goshawk red foxes are an important cause of mortality in newly fledged young a,Bird
107,Hazel Grouse ,the hazel grouse or hazel hen bonasa bonasia is one of the smaller members of the grouse family of birds it is a sedentary species breeding across northern eurasia and central and eastern europe in dense damp mixed coniferous woodland preferably with some spruce the nest is on the ground and egg biology eggs is the normal clutch size the female takes all responsibility for incubating the eggs and caring for the chicks as is typical with gamebirds image gelinotte jpg thumb left hazel grouse this is a relatively small grouse at convert cm length the feather plumage of this plump bird is finely patterned but hazel grouse essentially has grey upperparts brown wings and chestnut flecked white underparts the male has a short erectile crest and a white bordered black throat the female has a shorter crest and lacks the black throat in flight this species shows a black tipped grey tail the male has a high pitched ti ti ti ti ti call and the female a liquid tettettettettet the calls or the burr of the flying birds wings are often the only indication of this grouse s presence since its shyness and dense woodland habitat make it difficu,Bird
108,Ball Python,they are ground dwelling and predominantly herbivorous they inhabit the forests of central africa gorillas are divided into two species and still under debate as of either four or five subspecies the dna of gorillas is highly similar to human evolutionary genetics that of a human between and depending on what is counted,Reptile
109,Jaguar ,the jaguar panthera onca is a big cat a felidae feline in the panthera genus and is the only panthera species found in the americas the jaguar is the third largest feline after the tiger and the lion and the largest in the western hemisphere the jaguar s present range extends from mexico across much of central america and south to paraguay and northern argentina apart from a known and possibly breeding population in arizona southeast of tucson the cat has largely been local extinction extirpated from the united states since the early this spotted cat most closely resembles the leopard physically a,Land Mammal
110,Ocean sunfish ,the ocean sunfish mola mola or common mola is the heaviest known osteichthyes bony fish in the world it has an average adu,Fish
111,European Beaver ,the european beaver or eurasian beaver castor fiber is a species of beaver which was once widespread in eurasia where it has been hunted both for fur and for castoreum a secretion of its scent gland believed to have medicinal properties it still occurs as far as china and mongolia,Land Mammal
112,Giraffe,the gir forest in the state of gujarat is the last natural range of approximately wild asiatic lions there are plans to reintroduce some lions to kuno wildlife sanctuary in the neighboring state of madhya pradesh the lion panthera leo is one of the four big cats in the genus panthera and a member of the family felidae with some males exceeding amp nbsp kg amp nbsp pound mass lb in weight,Land Mammal
113,Common bottlenose dolphin ,the bottlenose dolphin san diego academic press inc,Aquatic Mammal
114,Snowy Owl ,the snowy owl bubo scandiacus is a large owl of the typical owl family biology family strigidae the snowy owl was first classified in by carolus linnaeus the swedish naturalist who developed binomial nomenclature to classify and organize plants and animals the bird is also known in north america as the arctic owl great white owl or harfang until recently it was regarded as the sole member of a distinct genus as nyctea scandiaca but mtdna cytochrome b cytochrome b dna sequence sequence data olsen et al shows that it is very closely related to the horned owls in the genus bubo genus bubo the snowy owl is the official bird of quebec,Bird
115,Rock Ptarmigan ,the rock ptarmigan lang la lagopus muta is a medium sized gamebird in the grouse family biology family it is known simply as ptarmigan in europe and colloquially as snow chicken or partridge in north america where it is the official bird for the territory of nunavut canada,Bird
116,Komodo dragon ,the komodo dragon varanus komodoensis is a large species of lizard found in the indonesian islands of komodo island komodo rinca flores and gili motang,Reptile
117,Ring-billed Gull ,the ring billed gull larus delawarensis is a medium sized gull adu,Bird
118,Roe Deer ,the european roe deer capreolus capreolus also known as the western roe deer or fr chevreuil chevreuil is an eurasian species of deer it is relatively small reddish and grey brown and well adapted to cold environments roe deer are widespread in western europe from the mediterranean to scandinavia and from the british isles to the caucasus it is distinct from the somewhat larger siberian roe deer,Land Mammal
119,House mouse ,the house mouse mus musculus is a small rodent a mouse one of the most numerous species of the genus mus genus mus as a wild animal the house mouse mainly lives associated with humans causing damage to crops and stored food the house mouse has been domestication domesticated as the pet or fancy mouse and as the laboratory mouse which is one of the most important model organisms in biology and medicine it is by far the most commonly used genetic engineering genetically a,Land Mammal
120,Bald Eagle,the bald eagle haliaeetus leucocephalus is a bird of prey found in north america it is the list of national birds national bird and national symbol symbol of the united states united states of america this sea eagle has two known sub species and forms a cryptic species complex species pair with the white tailed eagle its range includes most of canada and alaska all of the contiguous united states and northern mexico it is found near large bodies of open water with an abundant food supply and old growth trees for nesting in the late century the bald eagle was on the brink of extirpation in the continental united states while flourishing in much of alaska and canada populations recovered and stabilised so the species was removed from the federal government of the united states u s federal government s list of endangered species and transferred to the list of threatened species on july and it was removed from the list of endangered and threatened wildlife in the continental united states lower states on june bald eagles are not actually bald the name deriving from the older meaning of the word white headed,Bird
121,Cuvier's Dwarf Caiman ,the cuvier s dwarf caiman or musky caiman paleosuchus palpebrosus is a relatively small crocodilian reptile from northern and central south america it is found in bolivia brazil colombia ecuador french guiana guyana paraguay peru surinam and venezuela it lives primarily near fast stretches of stream but also in nutrient deficient waters with a total length of up to m ft in males and typically up to ft in females it is the smallest extant taxon extant species of crocodilian,Reptile
122,Pilot whale ,the genus is part of the oceanic dolphin family biology family delphinidae the two species are the long finned pilot whale and the short finned pilot whale the two are not readily distinguished at sea they and other large members of the dolphin family are also known as blackfish,Aquatic Mammal
123,Harbour porpoise ,the harbour porpoise phocoena phocoena is one of six species of porpoise it is one of the smallest marine mammals as its name implies it stays close to coastal areas or river estuaries and as such is the most familiar porpoise to whale watching whale watchers this porpoise often ventures up rivers and has been seen hundreds of miles from the sea phocoena phocoena may be polytypic with populations representing distinct races p p phocoena in the north atlantic and west africa p p relicta in the black sea and sea of azov an unnamed population in the north west pacific and p p vomerina in the north east pacific,Aquatic Mammal
124,Viviparous lizard ,the viviparous lizard or common lizard zootoca vivipara formerly lacerta genus lacerta vivipara is a eurasian lizard it lives farther north than any other reptile species and most populations are viviparous giving birth to live young rather than laying eggs as most other lizards do,Reptile
125,Nile crocodile ,thenilecrocodile jpg regnum animalia phylum chordate chordata classis reptilia archosauria ordo crocodylia familia crocodylidae subfamilia crocodylinae genus crocodylus species c niloticus binomial crocodylus niloticus joseph nicolai laurenti laurenti crocodylus niloticus distribution png nile crocodile range the nile crocodile crocodylus niloticus is an african crocodile which is common in somalia ethiopia uganda kenya egypt zambia and zimbabwe,Reptile
126,Siberian tiger ,no description found,Land Mammal
127,Eurasian Eagle-owl ,the eurasian eagle owl bubo bubo is a species of eagle owl resident in much of europe and asia it is also one of the largest types of owls,Bird
128,Klipspringer ,the klipspringer literally rock jumper in afrikaans dutch language dutch oreotragus oreotragus also known colloquially as a mvundla from xhosa language xhosa umvundla meaning rabbit is a small african antelope that lives from the cape of good hope all the way up east africa and into ethiopia image oreotragus oreotragus jpg thumb left a pair of klipspringers reaching approximately amp nbsp cm inches at the shoulder klipspringers are relatively small animals compared to some of their larger antelope cousins only the males have horns that are usually about amp nbsp cm inches long they stand on the tips of their hooves with a thick and dense speckled sa,Land Mammal
129,Spectacled Caiman ,no description found,Reptile
130,Red Squirrel ,the johns hopkins university press isbn oclc,Land Mammal
131,Northern White Rhinoceros,the closer whale is upright and viewed from the side while the other whale is arching backwards to display its underside transient killer whales near unimak island eastern aleutian islands alaska regnum animalia phylum chordate chordata classis mammalia ordo cetacea subordo odontoceti familia delphinidae genus orcinus species o orca binomial orcinus orca carl linnaeus linnaeus edition of systema naturae synonyms orca gladiator killer whale range map svg a world map shows killer whales are found throughout every ocean except parts of the arctic they are also absent from the black and ba,Land Mammal
132,Barred Owl ,the barred owl strix varia is a large typical owl it goes by many other names including eight hooter rain owl wood owl and striped owl but is probably known best as the hoot owl,Bird
133,Arctic char ,the arctic char is closely related to both salmon and trout and has many characteristics of both individual char fish can weigh convert lb abbr on or more with record sized fish having been taken by angling in northern canada where it is known as iqaluk or tariungmiutaq in inuktitut generally whole market sized fish are between convert and lb abbr on the flesh colour of char varies it can range from a bright red to a pale pink,Fish
134,Crowned Eagle ,the crowned eagle or crowned hawk eagle stephanoaetus coronatus is a very large powerful crested bird of prey found in sub saharan africa in southern africa it is restricted to suitable habitat in the eastern areas,Bird
135,Lesser Black-backed Gull ,the lesser black backed gull larus fuscus is a large gull that breeds on the atlantic ocean atlantic coasts of europe it is bird migration migratory wintering from the british isles south to west africa it is a regular winter visitor to the east coast of north america probably from the breeding population in iceland this species breeds colonially on coasts and lakes making a lined nest on the ground or a cliff normally three eggs are laid in some cities the species nests within the urban environment often in association with european herring gull herring gulls,Bird
136,Aldabra Giant Tortoise ,the aldabra giant tortoise geochelone gigantea from the islands of the aldabra atoll in the seychelles is one of the largest tortoises in the world this species is widely referred to as geochelone gigantea but is now placed in the genus dipsochelys,Reptile
137,Reindeer ,the reindeer rangifer tarandus also known as the caribou in north america is a deer from the arctic and subarctic including both resident and animal migration migratory populations while overall widespread and numerous,Land Mammal
138,Baleen whale ,the baleen whales also called whalebone whales or great whales form the mysticeti one of two suborders of the cetacea whales dolphins and porpoises baleen whales are characterized by having baleen plates for fi,Aquatic Mammal
139,Black Caiman ,the black caiman melanosuchus niger is a crocodilian it is a carnivorous reptile that lives along slow moving rivers and lakes in the seasonally flooded savannas of the amazon basin and in other freshwater habitats in south america once common it was hunted to near extinction primarily for its commercially valuable hide it is now listed as conservation dependent,Reptile
140,Yellowfin tuna ,the yellowfin tuna thunnus albacares is a species of tuna found in pelagic waters of tropical and subtropical oceans worldwide yellowfin is often marketed as ahi from its hawaiian language hawaiian name okina ahi a,Fish
141,Golden Eagle,the golden eagle aquila chrysaetos is one of the best known bird of prey birds of prey in the northern hemisphere like all eagles it belongs to the family accipitridae once widespread across the holarctic it has disappeared from many of the more heavily populated areas despite being extirpated from some its former range or uncommon the species is still fairly ubiquitous being present in eurasia north america and parts of africa the highest density of nesting golden eagles in the world lies in southern alameda county california,Bird
142,Atlantic bonito ,the atlantic bonito sarda sarda is a large mackerel like fish of the family scombridae it is common in shallow waters of the atlantic ocean where it is an important commercial and game fish,Fish
143,Wood Lemming ,the wood lemming myopus schisticolor is a species of rodent in the cricetidae family it belongs into the arvicolinae subfamily of rodents therefore is a relative of the voles lemmings and muskrats it is found in the taiga biome of china finland mongolia norway russia and sweden,Land Mammal
144,Cougar ,the cougar puma concolor also known as puma mountain lion mountain cat catamount or panther depending on the region is a mammal of the family felidae native to the americas this large solitary cat has the greatest range biology range of any large wild terrestrial mammal in the western hemisphere,Land Mammal
145,Lycaon pictus ,,Land Mammal
146,Red-eared slider ,the red eared slider trachemys scripta elegans is a semi aquatic turtle belonging to the family emydidae it is a subspecies of trachemys scripta pond slider it is a native of the southern united states but has become common in various areas of the world due to the pet trade they are popular pets in the united states mexico the netherlands canada spain japan malaysia and the united kingdom,Reptile
147,Short-eared Owl ,the short eared owl asio flammeus is a species of typical owl family strigidae owls belonging to genus asio are known as the eared owls as they have tufts of feathers resembling mammalian ears these ear tufts may or may not be visible asio flammeus will display its tufts when in a defensive pose however its very short tufts are usually not visible the short eared owl is found in open country and grasslands the word flammeus is latin for flaming or the color of fire,Bird
148,American Bison ,the american bison bison bison is a north american species of bison also commonly known as the american buffalo some consider the term buffalo somewhat of a misnomer for this animal as it is only distantly related to either of the two true buffalo the asian water buffalo and the african buffalo however bison is a greek word meaning ox like animal while buffalo originated with the french fur trappers who called these massive beasts lang fr bœufs meaning ox or bullock so both names bison and buffalo have a similar meaning in reference to this animal the term buffalo which dates to has a much longer history than the term bison which was first recorded in,Land Mammal
149,Giant Otter ,the giant otter pteronura brasiliensis is a south american carnivorous mammal it is the longest member of the mustelidae or weasel family a globally successful group of predators unusually for a mustelid the giant otter is a social species with family groups typically supporting three to eight members the groups are centered on a dominant breeding pair and are extremely cohesive and cooperative a,Aquatic Mammal
150,Blue whiting ,the blue whiting micromesistius poutassou is a cod of the genus micromesistius common in the north east atlantic ocean from morocco to iceland and spitsbergen blue whiting also occur in the north west atlantic ocean between canada and greenland it has a long narrow body and a silvery under body the fish can attain a length of amp nbsp cm the average length of blue whiting caught off the west shores of the uk is amp nbsp cm,Fish
151,Great Grey Owl ,the great grey owl or lapland owl strix nebulosa is a very large typical owl owl distributed across the northern hemisphere in some areas it is also called the great gray ghost phantom of the north cinerous owl spectral owl lapland owl spruce owl bearded owl and sooty owl,Bird
152,Honey Badger ,the honey badger mellivora capensis also known as the ratel is a monotypic taxon monotypic species of mustelid native to africa the middle east and the indian subcontinent despite its name the honey badger does not closely resemble other badger species instead bearing more anatomical similarities to weasels it is classed as least concern by the iucn due to its extensive range and general environmental adaptations it is a primarily carnivorous species and has few natural predators due to its thick skin and ferocious defensive abilities,Land Mammal
153,Red Fox ,the red fox vulpes vulpes is the largest of the vulpes true foxes as well as being the most geographically spread member of the carnivora being distributed across the entire northern hemisphere from the arctic circle to north africa central america and the steppes of asia its range has increased alongside human expansion having been introduced to australasia where it is considered harmful to native mammal and bird populations because of these factors it is listed as least concern for extinction by the iucn,Land Mammal
154,Four-horned Antelope ,the four horned antelope tetracerus quadricornis also known as the chousingha is an antelope found in open forest in south asia it is the only species currently classified in the genus tetracerus its primary distribution is in india extending south of the gangetic plains down to the state of tamilnadu orissa constitutes the eastern boundary of its distribution whereas the fragmented population at gir forest national park gir is its westernmost distribution a small population is also found in the drier forests of nepal four horned antelope stand just over half a metre tall at the shoulder and weigh around kilograms four horned antelope have a yellow brown coat with the underside and insides of the legs being white its legs are thin and have a black stripe running down the forelegs male four horned antelope grow horns usually the animal has four two between the ears and the second pair right on the front of the forehead the male grows the first pair of horns at a young age of a few months and the second pair of horns indicates age and nutrition inputs to the animal and generally grow at an age of to months the horns are never shed but may get damaged during fights four horned antelope live in dry deciduous forests and are solitary creatures four horned antelope are sedentary and may form territory animal territories males tend to become very aggressive towards other males during mating season a,Land Mammal
155,Ethiopian Wolf ,the ethiopian wolf canis simensis also known as the abyssinian wolf abyssinian fox red jackal simien fox or simien jackal is a canid native to africa the numerous names reflect previous uncertainty about its taxonomy taxonomic position but it is now thought to be related to the gray wolf wolves of the genus canis rather than the foxes it superficially resembles the ethiopian wolf is found at a,Land Mammal
156,Atlantic blue marlin ,the range of the atlantic blue marlin binomial makaira nigricans bernard germain étienne comte de la ville sur illon la cépède lacépède the atlantic blue marlin makaira nigricans is a species of marlin endemic to the atlantic ocean the atlantic blue marlin hereafter marlin feeds on a wide variety of organisms near the surface by using its bill it can stun injure or kill while knifing through a school of prey and then return later at its leisure to eat marlin is a popular game fish and has commercial value because its meat has a relatively high fat content marlin are distributed throughout the atlantic s tropical and temperate waters they are more populous in the western parts it is a maritime geography blue water fish that spends the majority of its life in the open sea far away from land,Fish
157,Red-tailed black shark ,the red tailed black shark epalzeorhynchos bicolor also known as the redtail shark and labeo bicolor is a species of freshwater fish in the carp family cyprinidae it is currently extinct in the wild but common in aquaria where it is prized for its deep black body and vivid red or orange tail,Fish
158,Skipjack tuna ,the skipjack tuna katsuwonus pelamis is a medium sized perciform fish in the tuna family scombridae it is otherwise known as the aku arctic bonito mushmouth oceanic bonito striped tuna or victor fish it grows up to amp nbsp m foot length feet in length,Fish
159,Bank Vole ,the bank vole myodes glareolus formerly clethrionomys glareolus is a small vole with red brown fur and some grey patches with a tail about half as long as its body it lives in woodland areas and is around convert mm in in length it is found in western europe and northern asia it is native to great britain but not to ireland where it has been accidentally introduced the bank vole lives in woodland hedgerows and other dense vegetation such as bracken and bramble it can live for months and is omnivorous eating insects leaves and fruits such as raspberry raspberries and hazel nuts it readily climbs into scrub and low branches of trees in areas such as mainland great britain where the only other small vole is the short tailed vole microtus agrestis it can be distinguished from that species by its more prominent ears chestnut brown fur and longer tail bank voles live in underground chambers lined with moss feathers and vegetable fibre inside the chamber they keep a store of food file bank voles jpg thumb left young bank voles in their nest beneath a wood pile,Land Mammal
160,Maned Wolf ,the maned wolf chrysocyon brachyurus is the largest canidae canid of south america resembling a large fox with reddish fur this mammal is found in open and semi open habitats especially grasslands with scattered bushes and trees in south central west and south eastern brazil mato grosso mato grosso do sul minas gerais goiás são paulo state são paulo federal district and recently rio grande do sul paraguay northern argentina bolivia east and north of the andes,Land Mammal
161,American Mink ,the american mink neovison vison is a north american member of the mustelidae family found in canada and most of the united states particularly in alaska it is related to weasels otters european mink wolverines and fisher animal fishers it was once grouped with skunks a,Land Mammal
162,Arctic Tern ,the arctic tern sterna paradisaea is a seabird of the tern family biology family sternidae this bird has a wiktionary circumpolar circumpolar breeding distribution covering the arctic and sub arctic regions of europe asia and north america as far south as brittany administrative region brittany and massachusetts the species is strongly bird migration migratory seeing two summers each year as it migrates from its northern breeding grounds along a winding route to the oceans around antarctica and back a round trip of about amp nbsp km c miles each year,Bird
163,Valentinni's sharpnose puffer ,the head is blue grey and the main body is white speckled with blue grey spots the tail and fins show hints of yellow and there is a rainbow streek of color behind the eyes it feeds mainly on algae valentinni s sharpnose puffer is highly poisonous to eat c valentini are occasionally found in schools together with paraluteres prionurus a non toxic filefish which has evolution evolved to mimic the very toxic c valentini for protection against predators,Fish
164,Nile perch ,the nile perch lates niloticus is a species of freshwater fish in family biology family latidae of order biology order perciformes it is widespread throughout much of the afrotropic ecozone being native to the congo river congo nile river nile senegal river senegal niger river niger and lake chad vo,Fish
165,Blue Whale,the blue whale balaenoptera musculus is a marine mammal belonging to the suborder of baleen whales called mysticeti,Aquatic Mammal
